,P1_I7_M1,P1_I7_M2,P1_I7_M3,P1_I7_M4,P1_I7_M5,P1_I7_M6,P1_I7_M7,P1_I7_M8,P1_I7_M9,P1_I7_M10,P1_I7_M11,P1_I7_M12,P1_I7_M13,P1_I7_M14,P1_I7_M15,P1_I7_M16,P1_I7_M17,P1_I7_M18,P1_I7_M19,P1_I7_M20,P2_I5_M1,P2_I5_M2,P2_I5_M3,P2_I5_M4,P2_I5_M5,P2_I5_M6,P2_I5_M7,P2_I5_M8,P2_I5_M9,P2_I5_M10,P2_I5_M11,P2_I5_M12,P2_I5_M13,P2_I5_M14,P2_I5_M15,P2_I5_M16,P3_I14_M1,P3_I14_M2,P3_I14_M3,P3_I14_M4,P3_I14_M5,P4_I6_M1,P4_I6_M2,P4_I6_M3,P4_I6_M4,P4_I6_M5,P4_I6_M6,P5_I4_M1,P5_I4_M2,P5_I4_M3,P5_I4_M4,P6_I9_M1,P6_I9_M2,P6_I9_M3,P7_I5_M1,P7_I5_M2,P7_I5_M3,P8_I4_M1,P8_I4_M2,P8_I4_M3,P8_I4_M4,P9_I5_M1,P10_I4_M1,P10_I4_M2,P11_I2_M1,P11_I2_M2,P12_I4_M1,P13_I2_M1
4322,749.7174796747968,0.15286624203821655,2364.2181818181816,8.362745098039216,26.76829268292683,8492.776119402984,0.0,3.1166666666666667,655.3333333333334,0.9565217391304348,0.6486486486486487,34.57575757575758,0.09090909090909091,2.484848484848485,1249.2424242424242,1.53125,257.35714285714283,6.407407407407407,0.11538461538461539,760.1818181818181,1132.3552631578948,1901.440366972477,1315.3061224489795,1011.9444444444445,9810.555555555555,2.1142857142857143,0.2571428571428571,1.8,0.03571428571428571,0.07142857142857142,0.48,0.0,0.09523809523809523,388.95,2875.3,1079.45,415.31168831168833,2635.72602739726,2082.8070175438597,0.25,0.25,940.2678571428571,6513.594594594595,0.07142857142857142,1710.2272727272727,207.5,53.68181818181818,705.4285714285714,1001.936170212766,6256.0,364.55,1449.2745098039215,1299.5,2857.6206896551726,1020.04,2799.5416666666665,571.4583333333334,276.64,200.65217391304347,3077.818181818182,773.75,241.04545454545453,551.75,1500.2083333333333,261.0,1608.4545454545455,360.1,4946.05
4329,1019.8089430894308,0.554140127388535,6266.333333333333,499.6078431372549,128.47560975609755,2551.1194029850744,0.015873015873015872,6.983333333333333,521.5263157894736,0.8695652173913043,2.918918918918919,0.12121212121212122,1.3333333333333333,7.0606060606060606,389.45454545454544,1.25,200.60714285714286,5.888888888888889,0.23076923076923078,650.4090909090909,2201.7236842105262,1291.9449541284403,592.1836734693877,1134.361111111111,5336.638888888889,1.542857142857143,0.4857142857142857,1.2333333333333334,2.1785714285714284,0.6428571428571429,4.0,0.7727272727272727,6.0476190476190474,129.9,7560.45,548.6,458.8961038961039,5328.273972602739,2058.1403508771928,0.65,52.2,797.1785714285714,4818.0,4.357142857142857,3287.5,216.36363636363637,6.2727272727272725,963.1964285714286,739.1914893617021,1858.5,1365.9,740.0784313725491,1400.0,2047.2413793103449,2118.4,1446.375,856.1666666666666,318.8,589.2173913043479,3094.0,1492.3,271.0,1133.28125,773.625,591.7826086956521,1874.590909090909,352.45,3390.35
4378,704.8211382113822,0.23248407643312102,5094.109090909091,10.235294117647058,66.1219512195122,2640.0597014925374,0.0,4.066666666666666,379.7543859649123,0.10869565217391304,0.4864864864864865,0.030303030303030304,0.5757575757575758,8.0,7316.727272727273,0.34375,194.60714285714286,36.18518518518518,0.38461538461538464,2166.7272727272725,1230.157894736842,1268.2752293577983,513.6122448979592,314.8611111111111,4721.25,4.428571428571429,0.11428571428571428,0.8666666666666667,0.07142857142857142,0.17857142857142858,1.92,0.045454545454545456,1.0952380952380953,1082.6,2224.4,510.45,311.85714285714283,2314.753424657534,1838.7719298245613,0.5,0.3,602.1964285714286,3809.6216216216217,0.2857142857142857,1272.090909090909,561.5,20.818181818181817,780.7678571428571,526.6382978723404,2172.2083333333335,200.3,643.2549019607843,1194.6315789473683,1230.2068965517242,736.4,1367.1666666666667,491.375,203.44,552.5217391304348,2084.3636363636365,558.3,225.3181818181818,566.0625,678.4166666666666,248.82608695652175,1186.409090909091,332.25,2203.8
4395,817.229674796748,0.2197452229299363,934.3030303030303,8.323529411764707,5.878048780487805,3412.8358208955224,0.0,2.5833333333333335,422.49122807017545,0.5217391304347826,0.8378378378378378,0.21212121212121213,1.4242424242424243,4.666666666666667,523.4848484848485,0.28125,153.17857142857142,9.407407407407407,0.3076923076923077,29.272727272727273,1218.217105263158,1357.8899082568807,753.2448979591836,669.6111111111111,3929.0833333333335,2.742857142857143,0.8,1.1333333333333333,1.3214285714285714,0.4642857142857143,0.88,1.1363636363636365,0.8095238095238095,126.75,1672.2,228.85,528.5454545454545,3293.2602739726026,1265.9122807017543,1.35,0.8,860.2857142857143,3245.108108108108,0.03571428571428571,2360.0454545454545,195.8181818181818,15.045454545454545,591.9821428571429,1037.0851063829787,1946.2083333333333,842.1,1047.4705882352941,879.8684210526316,1668.2413793103449,1380.92,1567.5416666666667,606.4583333333334,375.6,509.39130434782606,1928.2727272727273,786.8,255.8181818181818,777.28125,1049.0,382.82608695652175,1270.7727272727273,365.35,3107.65
4413,1255.7317073170732,0.18152866242038215,1464.3272727272727,10.666666666666666,16.304878048780488,3836.5373134328356,0.0,5.216666666666667,717.5087719298245,0.15217391304347827,0.7297297297297297,0.06060606060606061,0.24242424242424243,4.848484848484849,394.3333333333333,0.6875,175.71428571428572,4.703703703703703,0.038461538461538464,32.63636363636363,2373.0460526315787,1807.0550458715597,765.2857142857143,4264.25,6950.25,0.2571428571428571,45.42857142857143,0.5666666666666667,0.10714285714285714,0.10714285714285714,0.24,0.22727272727272727,0.0,177.8,2388.3,541.5,449.42857142857144,4584.13698630137,2356.6315789473683,0.05,0.4,1026.4285714285713,5502.189189189189,0.03571428571428571,2947.590909090909,263.0,15.954545454545455,1182.0714285714287,795.7872340425532,2037.0,465.25,920.7843137254902,1667.1842105263158,2961.0344827586205,1782.16,1857.9166666666667,678.875,321.56,1906.695652173913,3081.181818181818,1015.65,397.3636363636364,1021.90625,841.0416666666666,369.39130434782606,2121.7727272727275,349.4,4101.25
4468,447.0365853658537,0.17197452229299362,6861.333333333333,4.549019607843137,16.29268292682927,2409.223880597015,0.0,1.9,316.42105263157896,0.043478260869565216,1.135135135135135,0.12121212121212122,1.1515151515151516,6.181818181818182,1723.121212121212,0.1875,147.92857142857142,12.222222222222221,0.3076923076923077,153.22727272727272,889.8486842105264,764.2477064220184,489.14285714285717,1172.9444444444443,4632.055555555556,1.2,0.08571428571428572,1.2333333333333334,0.8928571428571429,0.8571428571428571,1.12,0.0,0.09523809523809523,438.9,5037.5,2064.15,211.66233766233765,2232.7671232876714,1198.2105263157894,0.15,0.3,403.0892857142857,3336.9189189189187,0.0,1364.6363636363637,160.0909090909091,27.90909090909091,503.14285714285717,382.82978723404256,1982.4583333333333,258.55,489.29411764705884,853.6842105263158,1090.6896551724137,937.96,1073.2916666666667,323.0,132.6,344.2173913043478,1866.1363636363637,598.85,120.45454545454545,431.34375,487.4166666666667,189.82608695652175,874.5909090909091,148.7,2138.6
4469,355.8983739837398,0.08917197452229299,2576.460606060606,3.0294117647058822,19.463414634146343,2567.5671641791046,0.0,0.8333333333333334,268.0,0.08695652173913043,0.16216216216216217,0.12121212121212122,0.45454545454545453,4.606060606060606,183.57575757575756,0.15625,119.42857142857143,1.1111111111111112,0.07692307692307693,176.0909090909091,652.8157894736842,686.2018348623853,469.3061224489796,328.25,3482.3055555555557,0.2,0.17142857142857143,1.0,0.0,0.42857142857142855,0.8,0.22727272727272727,0.047619047619047616,61.7,3772.4,1801.7,214.54545454545453,2261.72602739726,874.4736842105264,0.05,0.2,427.75,2718.2432432432433,0.25,1543.6363636363637,97.04545454545455,8.954545454545455,300.1607142857143,387.8510638297872,2178.0833333333335,303.35,536.0588235294117,551.2368421052631,1052.5172413793102,955.04,1091.5416666666667,327.5,146.2,172.91304347826087,1335.590909090909,489.85,153.27272727272728,401.0,595.0833333333334,182.69565217391303,762.5909090909091,128.65,2403.4
4471,541.4532520325204,0.4968152866242038,3152.8121212121214,6.019607843137255,13.78048780487805,3596.686567164179,0.0,4.283333333333333,405.0701754385965,0.45652173913043476,0.8648648648648649,0.3333333333333333,0.696969696969697,1.6666666666666667,538.0,0.8125,200.85714285714286,6.703703703703703,0.34615384615384615,327.5,1014.5197368421053,1006.2293577981651,965.3265306122449,780.0,5281.111111111111,1.0285714285714285,0.5142857142857142,2.066666666666667,0.7142857142857143,0.4642857142857143,0.64,0.3181818181818182,1.7142857142857142,187.3,3773.9,862.25,335.2597402597403,3039.027397260274,1332.719298245614,0.35,1.05,611.0535714285714,3828.7027027027025,1.2857142857142858,2205.3636363636365,82.13636363636364,28.181818181818183,506.51785714285717,667.6170212765958,2756.75,413.35,824.0784313725491,828.2894736842105,1690.344827586207,1568.72,1339.375,463.4166666666667,289.92,245.30434782608697,2049.6363636363635,735.0,174.36363636363637,558.8125,1077.1666666666667,358.8695652173913,1091.7272727272727,260.95,2778.65
4495,397.5975609756098,0.06050955414012739,1888.6303030303031,4.901960784313726,3.8292682926829267,2339.283582089552,0.0,2.1166666666666667,262.7368421052632,0.10869565217391304,0.21621621621621623,0.21212121212121213,0.12121212121212122,2.8484848484848486,485.8181818181818,0.125,135.89285714285714,2.814814814814815,0.07692307692307693,60.13636363636363,859.6842105263158,716.2844036697247,419.57142857142856,430.8611111111111,4522.75,0.7428571428571429,0.11428571428571428,72.4,0.0,0.07142857142857142,0.12,7.090909090909091,0.09523809523809523,163.95,2346.85,284.1,174.92207792207793,2421.780821917808,1156.561403508772,0.3,0.05,368.5892857142857,3203.135135135135,0.03571428571428571,1678.4545454545455,63.0,27.954545454545453,466.69642857142856,342.72340425531917,1858.375,282.65,415.54901960784315,677.6052631578947,1130.0,1002.52,765.3333333333334,327.7083333333333,119.56,350.5217391304348,1646.590909090909,501.0,94.81818181818181,474.84375,437.0833333333333,194.1304347826087,975.2272727272727,114.65,2334.85
4497,1182.0792682926829,0.6656050955414012,4578.733333333334,13.137254901960784,20.073170731707318,6866.149253731343,0.0,4.683333333333334,1162.4561403508771,1.0434782608695652,0.7837837837837838,1.303030303030303,2.212121212121212,3.484848484848485,570.6969696969697,1.65625,236.35714285714286,12.555555555555555,1.8076923076923077,350.09090909090907,2032.7565789473683,2702.908256880734,1023.1428571428571,947.7777777777778,13652.583333333334,5.742857142857143,0.8857142857142857,3.066666666666667,0.8571428571428571,0.8214285714285714,2.24,1.1363636363636365,1.4761904761904763,211.75,2671.0,1308.75,472.94805194805195,2229.4931506849316,4208.456140350877,1.95,0.35,1242.5714285714287,10165.567567567568,2.0357142857142856,1373.2727272727273,191.1818181818182,41.77272727272727,1566.6964285714287,907.1489361702128,4542.166666666667,595.35,1359.5098039215686,2727.184210526316,3483.2413793103447,703.56,3360.7916666666665,529.8333333333334,281.64,1298.0,3850.590909090909,734.6,325.6818181818182,762.03125,1591.625,303.9130434782609,2115.1363636363635,461.05,5182.15
